2026-09-11 05:00:00,000;458011.446546;Read;0.329
2026-09-11 05:00:00,002;458011.969217;Read;1.467
2026-09-11 05:00:00,002;458013.242153;Read;0.454
2026-09-11 05:00:00,002;458013.254174;Read;0.476
2026-09-11 05:00:00,002;458013.476038;Read;0.622
2026-09-11 05:00:00,002;458013.958918;Read;0.406
2026-09-11 05:00:00,003;458014.456128;Read;0.338
2026-09-11 05:00:00,003;458015.177303;Read;0.359
2026-09-11 05:00:00,004;458015.50189;Update;0.361
2026-09-11 05:00:00,004;458015.95577;Read;0.437
2026-09-11 05:00:00,005;458017.072763;Read;0.434
2026-09-11 05:00:00,006;458017.046422;Update;0.493
2026-09-11 05:00:00,006;458017.468511;Read;0.318
2026-09-11 05:00:00,006;458017.946041;Read;0.334
2026-09-11 05:00:00,007;458018.448171;Read;0.333
2026-09-11 05:00:00,007;458018.945321;Read;0.447
2026-09-11 05:00:00,008;458019.534664;Read;0.301
2026-09-11 05:00:00,008;458019.989633;Read;0.306
2026-09-11 05:00:00,009;458020.447983;Read;0.96
2026-09-11 05:00:00,009;458020.946183;Read;0.468
2026-09-11 05:00:00,010;458021.493444;Read;0.343
2026-09-11 05:00:00,010;458021.976394;Read;0.397
2026-09-11 05:00:00,011;458022.452554;Read;0.334
2026-09-11 05:00:00,011;458022.949064;Read;0.302
2026-09-11 05:00:00,012;458023.447065;Read;0.378
2026-09-11 05:00:00,012;458023.964535;Read;0.407
2026-09-11 05:00:00,013;458024.497956;Read;0.36
2026-09-11 05:00:00,014;458025.439666;Read;0.341
2026-09-11 05:00:00,014;458025.009507;Update;1.087
2026-09-11 05:00:00,014;458025.946496;Read;0.349
2026-09-11 05:00:00,015;458026.462117;Read;0.349
2026-09-11 05:00:00,015;458026.964087;Read;0.377
2026-09-11 05:00:00,016;458027.960988;Update;0.483
2026-09-11 05:00:00,017;458027.475958;Update;1.287
2026-09-11 05:00:00,017;458028.54238;Read;0.466
2026-09-11 05:00:00,017;458028.974319;Read;0.365
2026-09-11 05:00:00,018;458029.51723;Read;0.363
2026-09-11 05:00:00,018;458029.948699;Read;0.397
2026-09-11 05:00:00,019;458030.44459;Update;1.006
2026-09-11 05:00:00,020;458030.94344;Read;0.688
2026-09-11 05:00:00,020;458031.548722;Read;0.292
2026-09-11 05:00:00,020;458031.961271;Update;0.311
2026-09-11 05:00:00,021;458032.442071;Read;0.357
2026-09-11 05:00:00,021;458032.985792;Update;0.398
2026-09-11 05:00:00,022;458033.511693;Update;0.342
2026-09-11 05:00:00,022;458033.912181;Update;0.325
2026-09-11 05:00:00,023;458034.468153;Read;0.324
2026-09-11 05:00:00,023;458034.945923;Read;0.264
2026-09-11 05:00:00,024;458035.447463;Update;0.441
2026-09-11 05:00:00,024;458035.951064;Update;0.339
2026-09-11 05:00:00,025;458036.458234;Read;0.297
2026-09-11 05:00:00,025;458036.957515;Read;0.266
2026-09-11 05:00:00,026;458037.454035;Update;0.347
2026-09-11 05:00:00,026;458037.947265;Read;0.353
2026-09-11 05:00:00,027;458038.476916;Read;0.333
2026-09-11 05:00:00,027;458038.941296;Read;0.338
2026-09-11 05:00:00,028;458039.455896;Read;0.329
2026-09-11 05:00:00,028;458039.959457;Update;0.418
2026-09-11 05:00:00,029;458040.462297;Read;0.313
2026-09-11 05:00:00,029;458040.946317;Read;0.322
2026-09-11 05:00:00,030;458041.446498;Read;0.314
2026-09-11 05:00:00,030;458041.956688;Read;0.331
2026-09-11 05:00:00,031;458042.467379;Read;0.378
2026-09-11 05:00:00,031;458043.01338;Update;0.369
2026-09-11 05:00:00,032;458043.439899;Update;0.401
2026-09-11 05:00:00,032;458043.9673;Read;0.483
2026-09-11 05:00:00,033;458044.48384;Read;0.337
2026-09-11 05:00:00,033;458044.94077;Read;0.384
2026-09-11 05:00:00,034;458045.44657;Read;0.319
2026-09-11 05:00:00,034;458045.947191;Update;0.451
2026-09-11 05:00:00,035;458046.472572;Read;0.293
2026-09-11 05:00:00,035;458046.962322;Read;0.282
2026-09-11 05:00:00,036;458047.445092;Read;0.347
2026-09-11 05:00:00,036;458047.961382;Update;0.484
2026-09-11 05:00:00,037;458048.483233;Read;0.343
2026-09-11 05:00:00,037;458048.948133;Read;0.301
2026-09-11 05:00:00,038;458049.484304;Update;0.418
2026-09-11 05:00:00,038;458049.971724;Read;0.307
2026-09-11 05:00:00,039;458050.452704;Read;0.311
2026-09-11 05:00:00,039;458050.945744;Update;0.343
2026-09-11 05:00:00,040;458051.450295;Read;0.425
2026-09-11 05:00:00,040;458051.949665;Read;0.342
2026-09-11 05:00:00,041;458052.475506;Read;0.303
2026-09-11 05:00:00,041;458052.963756;Read;0.372
2026-09-11 05:00:00,042;458053.452336;Read;0.354
2026-09-11 05:00:00,042;458053.951156;Update;0.444
2026-09-11 05:00:00,043;458054.497688;Read;0.363
2026-09-11 05:00:00,043;458054.974808;Update;0.361
2026-09-11 05:00:00,044;458055.454438;Read;0.314
2026-09-11 05:00:00,044;458055.948768;Read;0.303
2026-09-11 05:00:00,045;458056.444678;Read;0.303
2026-09-11 05:00:00,045;458056.960039;Read;0.396
2026-09-11 05:00:00,046;458057.546061;Read;0.419
2026-09-11 05:00:00,047;458058.093182;Update;0.481
2026-09-11 05:00:00,047;458058.44577;Update;0.382
2026-09-11 05:00:00,047;458058.94351;Update;0.405
2026-09-11 05:00:00,048;458059.476081;Read;0.313
2026-09-11 05:00:00,048;458059.945751;Update;0.346
2026-09-11 05:00:00,049;458060.466881;Update;0.387
2026-09-11 05:00:00,049;458060.926521;Read;0.317
2026-09-11 05:00:00,050;458061.443072;Read;0.351
2026-09-11 05:00:00,050;458061.956192;Read;0.331
2026-09-11 05:00:00,051;458062.456863;Read;0.301
2026-09-11 05:00:00,051;458062.946573;Read;0.302
2026-09-11 05:00:00,052;458063.458083;Read;0.327
2026-09-11 05:00:00,052;458063.972154;Read;0.281
2026-09-11 05:00:00,053;458064.445974;Read;0.327
2026-09-11 05:00:00,053;458064.949604;Read;0.273
2026-09-11 05:00:00,054;458065.443214;Read;0.273
2026-09-11 05:00:00,054;458065.946715;Read;0.406
2026-09-11 05:00:00,055;458066.452455;Read;0.282
2026-09-11 05:00:00,055;458066.956826;Read;0.279
2026-09-11 05:00:00,056;458067.445156;Read;0.294
